bedrooms,sqft_living,sqft_lot,floors,sqft_above,price
3,1340,7912,1.5,1340,313000
5,3650,9050,2,3370,2384000
3,1930,11947,1,1930,342000
3,2000,8030,1,1000,420000
4,1940,10500,1,1140,550000
2,880,6380,1,880,490000
2,1350,2560,1,1350,335000
4,2710,35868,2,2710,482000
3,2430,88426,1,1570,452500
4,1520,6200,1.5,1520,640000
3,1710,7320,1,1710,463000
4,2920,4000,1.5,1910,1400000
3,2330,14892,1,1970,588500
3,1090,6435,1,1090,365000
5,2910,9480,1.5,2910,1200000
3,1200,9720,1,1200,242500
3,1570,6700,1,1570,419000
4,3110,7231,2,3110,367500
3,1370,5858,1,1370,257950
3,1180,10277,1,1180,275000
3,2240,10578,2,1550,750000
4,1450,8800,1,1450,435000
3,1750,1572,2.5,1470,626000
4,2730,12261,2,2730,612500
4,1600,6380,1,1130,495000
3,2090,10834,1,1360,285000
3,2360,7291,1,1360,615000
4,2200,11250,1.5,1300,698000
5,2820,67518,2,2820,675000
3,2600,4750,1,1700,790000
4,1560,8700,1,1560,382500
4,2860,3345,2,2190,499950
4,1820,5000,1.5,1640,650000
4,2820,8408,2,2820,625000
4,3630,42884,1.5,2300,400000
3,3240,33151,2,3240,604000
2,800,4850,1,800,440000
3,1850,19966,1,1090,287200
3,1960,13100,1,1650,403000
3,2390,6550,1,1440,750000
3,1580,16215,1,1580,335000
4,1480,8625,1,1480,260000
2,850,6174,1,850,308500
3,1770,2875,2,1770,439950
2,1210,9400,1,1210,235000
3,1160,9180,1,1160,315000
3,1970,35100,2,1970,437500
3,1930,10460,2,1930,407500
3,1270,1180,3,1270,445700
4,3310,42998,2,3310,838000
4,2710,37277,2,2710,630000
3,2910,35200,1.5,2910,550000
3,2710,4500,1.5,1880,805000
3,1800,23103,1,1800,284000
5,2210,9655,1,1460,470000
4,1920,10000,1,1070,430000
4,2190,125452,1,2190,491500
5,3660,11995,2,3660,785000
3,1320,1327,2,1040,385000
2,1630,1368,2,1280,295000
4,3310,6500,2,3310,555000
3,2680,5539,2,2680,459990
4,2730,54014,1,1560,625000
3,2540,5050,2,2540,300000
4,2920,6605,2,2920,625000
2,900,5000,1,900,553000
3,1650,14054,1,1130,379880
3,1010,9945,1,1010,310000
2,2680,7392,1,2680,775000
3,2200,7350,1,1570,365000
4,2530,9933,2,2010,331950
3,2850,7130,2,1990,783500
4,2280,6010,1,1140,628000
3,1900,8744,2,1900,560000
3,1330,77972,1,1330,900000
2,1270,1175,2,1110,531000
4,2170,4000,2,1610,831000
4,2730,10281,2,2730,780000
4,2120,10202,1,1620,755000
3,2490,4343,2,2490,705380
4,1990,7712,1,1210,627000
4,3690,9892,2,3690,865000
2,2540,7000,1,1320,580000
3,1800,36704,1,1360,410000
4,2340,7048,1,1340,485000
2,2110,9519,1,2110,400000
2,1140,5400,1,1140,549000
3,1480,2185,2.5,1480,620000
2,1410,1240,2,1140,405000
2,1200,8063,1,1200,232000
5,3180,13806,2,3180,800866
3,2160,9000,1,1400,650000
6,2920,5000,2.5,2780,823000
3,2350,5700,1.5,1810,770000
3,1560,5520,1,780,524000
5,2740,8426,1,1370,541125
3,1680,2000,3,1680,670000
5,3090,12750,1,1750,384900
3,1410,1332,3,1410,406100
5,4010,8510,2,2850,1395000
4,3180,21904,2,3180,736500
3,2010,6000,1,1330,570000
3,1330,7500,1,1330,787000
4,2370,6500,2,2370,328000
5,1840,9240,1,1540,435000
4,2910,6479,2,2910,499000
4,2070,7519,1,1160,501000
4,4340,141570,2.5,4340,1090000
2,840,5510,1,840,400000
4,1240,9600,1,1240,220000
4,1390,4240,1,1050,657100
4,2310,5000,2,2310,309950
3,1050,10072,1,1050,300000
5,2550,71874,1,1810,525888
4,2010,3600,1.5,2010,740000
5,1120,9022,1.5,1120,340000
3,2230,4000,2,2230,398750
2,810,7158,1,810,206000
5,3190,16920,1,1690,1030000
3,1670,39639,1,1670,600000
4,1970,9389,1,1140,379950
3,1450,6000,1,1450,287000
7,13540,307752,3,9410,2280000
3,1880,7838,2,1880,309950
3,1880,6360,1,1040,600000
3,1410,6030,1.5,1410,418000
4,1480,3844,1.5,1480,449250
2,1140,5250,1.5,1140,329950
3,1920,9306,1,1000,245000
4,2910,6338,2,2910,549000
3,3240,7857,2,3240,800000
3,1550,15040,1,1550,249950
5,2050,10200,1,1430,210000
2,2220,4000,2,2220,1425000
2,1770,8640,1.5,1520,585000
4,2300,11700,1,1960,615000
3,1800,5000,1,1080,618500
4,2010,9211,1,1470,487585
3,1790,2700,2,1790,509900
4,2440,6651,2,2440,631625
3,1940,3211,2,1940,555000
2,1160,1438,2,1160,340000
4,3400,9692,2,3400,830000
4,4420,5750,2,3410,890000
3,1571,2017,3,1571,366750
